liste;ID;Titre;Sous-titre;Édition;Type;EAN;"Prix indicatif";Joueur(s);Durée;Age(s);Langues;Univers;Gamme(s);Catégorie(s);Thème(s);Mécanisme(s);Éditeur(s);Auteur(s);Illustrateur(s)
"Casse/ Perte";74763;"Escape Room - Maison Hantée";;2023;basegame;8715427099781;2;"2 — 4";45;8+;français,anglais,néerlandais;;"Escape room";"Escape Game";"Fantômes & Esprits";Coopération,Déduction,Énigme,Logique,Observation,Roleplay;"Creative Craft Group";;
LOKI;41856;"Détective Charlie";;2020;basegame;3760175516894;20;"1 — 5";30;7+;français;;"Détective Charlie";"Jeu de Cartes";"Animaux,Enquêtes & Mystères";Coopération,Déduction;Loki;"Théo Rivière";"Piper Thibodeau"
LOKI;56072;Dodo;;2022;basegame;3760175519499;36;"2 — 4";10;6+;français;;Dodo;"Jeu de plateau";Animaux;"Adresse & Dextérité,Coopération,Rapidité";Kosmos,Loki;"Frank Bebenroth,Marco Teubner";"Cyril Bouquet,Paul Mafayon"
LOKI;21087;Farmini;;2018;basegame;3760175514760;9;"1 — 4";15;5+;français;;;"Jeu de Cartes";Animaux;;Loki;"Marie Fort,Wilfried Fort";"Anne Pätzke"
LOKI;56062;"Hâpy Families";;2022;basegame;3760175519598;11;"2 — 4";10;5+;français;;;"Jeu de Cartes";Egypte;Collection;Loki;"Olivier Cipière";"Anthony Moulins"
LOKI;37247;"Kraken Attack !";;2020;basegame;3760175516870;27;"1 — 4";25;7+;français;;;"Jeu de Cartes,Jeu de plateau";"Animaux,Maritime,Monstres & Créatures,Océan,Pirates";"Adresse & Dextérité,Chance & Hasard,Combinaison,Coopération,Gestion de main,Jet De Dés,Pouvoir,Solo";Loki;"Antoine Bauza,Esteban Bauza";Betowers
LOKI;32414;"Little Battle";;2019;basegame;3760175516016;7,9;"3 — 5";15;5+;français;;;"Jeu de Cartes";Animaux,Navigation,Pirates;"Affrontement Direct,Course";Loki;"Dorian Berthelot,Leandro Berthelot";"Ariel Icandri"
LOKI;29572;"Monsieur Carrousel";;2019;basegame;3760175515729;28;"1 — 6";15;4+;français,anglais,allemand,italien,néerlandais;;;"Jeu de plateau";"Parc d'attractions";"Coopération,Jet De Dés,Mémorisation";Loki;"Sara Zarian";"Apolline Etienne"
LOKI;20003;"SOS Dino";;2018;basegame;3760175514746;27;"1 — 4";"20 — 30";7+;français;;"SOS Dino";"Jeu de plateau,Jeu de tuiles";Animaux,Dinosaures,Survie,Volcans;"Chance & Hasard,Coopération,Déplacement,Parcours,Placement de tuiles,Pouvoir,Solo";Loki;"Ludovic Maublanc,Théo Rivière";"Mathieu Leyssenne"
LOKI;39399;Superfly;;2020;basegame;3760175516887;18;"3 — 5";20;6+;français,anglais,allemand,espagnol,italien,néerlandais;;;;Animaux;"Collection,Gestion de main";Loki;"Anja Dreier-Brückner,Thomas Brückner";"Stéphane Escapa"
LOKI;49469;"Team Story";;2021;basegame;3760175517792;0;"2 — 7";30;5+;français;;;"Jeu de Cartes";Contes;Argumentation,Observation;Loki;"Marie Chaplet,Steffanie Yeakle";"Chiara Galletti"
LOKI;20137;"Troll & Dragon";;2018;basegame;3760175514753;16;"2 — 5";20;7+;français;;;"Jeu de dés";Fantastique;"Jet De Dés,Stop ou encore";Loki;"Alexandre Emerit";"Paul Mafayon"
LOKI;32415;"Zoo Run";;2019;basegame;3760175516009;14,5;"2 — 5";15;4+;français;;;"Jeu de plateau";Agriculture,Animaux;"Coopération,Gestion de main";Loki;"Florian Sirieix";"Davide Tosello"
LOKI;80758;"Les Éclairtout";;2024;basegame;3701551703064;23,5;"1 — 5";15;6+;français;;;"Jeu de plateau";Fantastique;"Observation,Parcours,Temps réel";Loki;"Hjalmar Hach,Lorenzo Silva";"Annachiara Rossi,Fábio Frencl,Giulia Ghigini"
Enfance;80758;"Les Éclairtout";;2024;basegame;3701551703064;23,5;"1 — 5";15;6+;français;;;"Jeu de plateau";Fantastique;"Observation,Parcours,Temps réel";Loki;"Hjalmar Hach,Lorenzo Silva";"Annachiara Rossi,Fábio Frencl,Giulia Ghigini"
Enfance;56072;Dodo;;2022;basegame;3760175519499;36;"2 — 4";10;6+;français;;Dodo;"Jeu de plateau";Animaux;"Adresse & Dextérité,Coopération,Rapidité";Kosmos,Loki;"Frank Bebenroth,Marco Teubner";"Cyril Bouquet,Paul Mafayon"
"1 ou 2 joueurs";86993;"Ohio Bob Et L'amulette Perdue";;2025;basegame;3760372235932;8,9;Solo;15;10+;français,anglais;;"Matagot Micro-Game,Ohio Bob";"Jeu de Cartes";"Donjons,Jeu vidéo";"Chance & Hasard,Prise de risque";Matagot;"Christophe Raimbault";"Francisco Coda"
"Jeux de Rôle / Aventures";75987;"Cartaventura - Au nom du roi";"Les Trois Mousquetaires";2024;basegame;3770005767402;8;"1 — 6";"30 — 60";10+;français;;Cartaventura;"Jeu de Cartes";"Aventure,De Cape et d'Epée";Coopération,Scénarios;"Blam !";"Pierre Buty,Thomas Dupont";"Guillaume Bernon,Jeanne Landart"
Goodies;84201;"Clichés Criminels - L'Affaire Larose";"Scénario de Découverte";2025;goodie;3770006370342;0;"2 — 6";30;16+;français;;"Clichés Criminels";"Jeu D'Enquête";"Enquêtes & Mystères";"Association d'idées,Déduction";"Blue Cocker";"Lola,Simon Armanini";"Aude Lemarchand"
"Escape game";84201;"Clichés Criminels - L'Affaire Larose";"Scénario de Découverte";2025;goodie;3770006370342;0;"2 — 6";30;16+;français;;"Clichés Criminels";"Jeu D'Enquête";"Enquêtes & Mystères";"Association d'idées,Déduction";"Blue Cocker";"Lola,Simon Armanini";"Aude Lemarchand"
"Escape game";88604;"Escape Game Pocket - Le Magasin De Jouets";;2024;basegame;;8,9;"1 — 6";60;10+;français;;"Escape game pocket";"Escape Game";"Jouets,Vie quotidienne";Coopération,Déduction,Énigme,Logique,Observation;Clementoni;;
"Escape game";53806;"Echoes - Le Cocktail";"Jeu d'enquête audio";2022;basegame;4005556206650;10,5;"1 — 6";60;14+;français;;Echoes;"Jeu D'Enquête";"Enquêtes & Mystères";Coopération,Déduction;Ravensburger;"Dave Neale,Matthew Dunstan";"Harnickell Design,Matthew Eng,Samuel Bourguignon"
"Escape game";73892;"Escape Game party";"Menace à l'Exposition universelle";2023;basegame;9782317031373;14,95;"1 — 6";60;10+;français;;;"Escape Game";Paris;Coopération,Déduction,Énigme,Logique,Observation,Roleplay;Mango;"Germain Winzenschtark";"Jérôme Ressot"
"Ludique Educatif";81564;"La Forêt Enchantée";;2019;basegame;5414301515777;12;Solo;15;6+;français;;"Travel Magnetic Games";"Casse-tête,Jeu de plateau,Jeu de tuiles,Puzzle";"Animaux,Environnement,Fantastique,Fées & lutins,Licornes,Magie & Sorcellerie,Nature";"Connexion,Construction,Déduction,Défis,Logique,perception visuelle,Placement de tuiles,Planification,Réflexion,Solo";"Smart Games";"Bloemmen Hans,Raf Peeters";
"News ?";85636;"Take Time";;2025;basegame;3558380131229;25;"2 — 4";30;10+;français;;"Take Time";"Jeu de Cartes";Temporalité;"Communication Restreinte,Coopération,Scénarios";Libellud;"Alexi Piovesan,Julien Prothière";"Maud Chalmel"
"News ?";91126;"Ma Première Aventure - Le Château de P'tit Bouh";;2025;basegame;9782492939167;19,9;"1 — 2";30;4+;français;;"Ma première Aventure";"Livre dont vous êtes le héros";"Exploration,Fantômes & Esprits";"Choix multiples,Narration,Scénarios,Solo";"Game Flow";"Florian Fay";"Antoine Bordon"
"News ?";90153;"Boo Party";;2025;basegame;3701551704269;0;"2 — 6";10;5+;français;;;"Jeu de Cartes";"Fantômes & Esprits";Asymétrie;Loki;"Benoit Turpin,Florian Sirieix";"Benedetta Capriotti"
"Petite Enfance";76622;"25 Jeux Pour Les Petits";;2009;basegame;3606454729206;0;"2 — 6";"15 — 30";3+;français;;;"Jeu D'Éveil,Jeu de plateau";;;"House Of Toys";;
"Sur place";66545;"Qui est le coupable ? - Le château";;2015;basegame;;13,9;Solo;20;3+;français;;"Qui est le coupable ?";"Livre jeu";"Château,Enquêtes & Mystères";Déduction,Logique,Narration;"Éditions Milan";"Pascal Prévôt";Didchocolatine
"Ludique Educatif";18012;Tangram;;1976;basegame;;0;Solo;"15 — 30";6+;français;;Tangram;"Casse-tête,Jeu de plateau,Puzzle";Abstrait,Formes;"Construction,Déduction,Défis,Logique,perception visuelle,Placement de tuiles,Réflexion,Solo";Ravensburger;;
"1 ou 2 joueurs";7989;Touché-Coulé;;1986;basegame;5010994550011;0;Duo;30;7+;français;;"Bataille Navale";"Jeu de plateau";Navigation;Déduction;MB;;
Famille;63967;"Mino Dice";;2023;basegame;3701551701558;24;"3 — 6";30;8+;français;;"Skull king";"Jeu de dés";Grèce,Mythologie;"Chance & Hasard,Combinaison,Jet De Dés,Plis,Prise de risque";Iello;"Manfred Reindl";"Eckhard Freytag,Wanjin Gill"
Famille;79061;Luz;;2024;basegame;3701551703354;16,9;"3 — 5";30;10+;français;;;"Jeu de Cartes";Abstrait;"Déduction,Gestion de main,Jeu caché,Plis";Iello;"Taiki Shinzawa";"Crocotame Studio"
Famille;72786;Flowers;;2024;basegame;3760400210009;13,5;"1 — 4";20;7+;français;;Flowers;"Jeu de Cartes";Chiffres,Couleurs,Végétaux;"Combinaison,Connexion,Placement de cartes,Stratégie";"Actarus Editions";"Paul-Henri Argiot";"Julie Gruet"
Famille;23284;Illusion;;2018;basegame;3760207030336;12;"2 — 4";15;8+;français;;Illusion;"Jeu de Cartes";Abstrait;Déduction,Observation,Réflexion;Oya;"Wolfgang Warsch";"Oliver Freudenreich,Sandra Freudenreich"
"Ludique Educatif";86562;"Crack List - La Récré";;2025;basegame;3770025813134;18,5;"2 — 8";30;7+;français;;"Crack list";"Jeu d'Ambiance,Jeu de Cartes";Humour;;"Yaqua Studio";"Pierre Faucon";"Charlotte Faucon"
Famille;86562;"Crack List - La Récré";;2025;basegame;3770025813134;18,5;"2 — 8";30;7+;français;;"Crack list";"Jeu d'Ambiance,Jeu de Cartes";Humour;;"Yaqua Studio";"Pierre Faucon";"Charlotte Faucon"
Famille;73349;Odin;;2024;basegame;7640139533388;11,5;"2 — 6";15;7+;français,anglais,allemand,espagnol,italien,néerlandais;;"Odin,Pocket Helvetiq";"Jeu de Cartes";Vikings;"Combinaison,Défausse,Gestion de main";Helvetiq;"Gary Kim,Hope S. Hwang,Yohan Goh";"Crocotame Studio"
"1 ou 2 joueurs";74371;Solstis;;2024;basegame;3760268310538;15;Duo;15;8+;français;;Solstis;"Jeu de tuiles";"Montagne,Randonnée,Transport & voyage";"Choix multiples,Collection,Combinaison,Placement de tuiles,Pouvoir";"Lumberjacks Studio";"Bruno Cathala,Corentin Lebrat";"Emmanuel Martin"
Famille;39114;"For Sale";;2020;basegame;3760175517044;12;"3 — 6";"30 — 60";10+;français;;"For Sale,Iello Mini-Games";"Jeu de Cartes";Immobilier,Ville;"Bluff,Déduction,Enchères,Enchères cachées,Gestion de main";Iello;"Stefan Dorra";"Catell-Ruz,Emilien Rotival"
Enfance;54800;"Bingo Island";;2022;basegame;3760290560116;23,9;"2 — 4";30;6+;français;;;"Jeu de plateau";"Les îles,Océan";"Observation,Placement de tuiles";"Grrre Games";"Corentin Lebrat,Ludovic Maublanc";"Valériane Holley"
Enfance;56062;"Hâpy Families";;2022;basegame;3760175519598;11;"2 — 4";10;5+;français;;;"Jeu de Cartes";Egypte;Collection;Loki;"Olivier Cipière";"Anthony Moulins"
"Casse/ Perte";18907;"Chop! Chop!";;2017;basegame;3070900084018;30;"2 — 5";15;6+;français,anglais,allemand,espagnol,italien,néerlandais,portugais,russe;;;"Jeu de plateau,Jeu de tuiles";Alimentation,Animaux,Chats,Souris;"Chance & Hasard,Déplacement,Élimination,Jet De Dés,Semi-coopération,Stratégie";Djeco;"Alexandre Droit";"Christophe Gilet"
"Petite Enfance";25632;"Lou le loup - La course aux bisous";;2018;basegame;9791036303647;14,9;"2 — 4";15;3+;français;;;"Jeu de plateau";Animaux;Parcours;Bayard;;"Catherine Proteaux"
"Petite Enfance";59714;"Mon loto rigolo - Monsieur Madame";;2014;basegame;;10,99;"2 — 4";15;2+;français;"Monsieur Madame";Loto;"Jeu de tuiles";"Dessin animé";"Chance & Hasard,Collection,Mémorisation,Observation,Rapidité,Solo";Nathan;;
Enfance;26600;"Pirouette Cacahuète";;2013;basegame;8410446314913;15;"2 — 4";15;4+;français;;;"Jeu de Cartes";Contes;Mémorisation;Nathan;"Marie Chaplet,Steffanie Yeakle";
"Petite Enfance";35913;"T'choupi - mon premier jeu de familles";;2016;basegame;8410446314326;10,99;"1 — 4";15;"3 — 6";français;T'Choupi;"Jeu des 7 familles";"Jeu de Cartes";"Animaux,Dessin animé";Collection;Nathan;;
Enfance;27118;"Les Pays du Monde";;2018;basegame;4010168239163;26,9;"2 — 4";30;8+;français;;"Les Pays du Monde";;Afrique,Amérique,Asie,Europe;;Haba;;
Enfance;1148;"Pyramide d'Animaux";;2005;basegame;4010168034782;18;"2 — 4";15;4+;français;;"Pyramide d'animaux";"Jeu D'Adresse,Jeu de Construction";Animaux;"Adresse & Dextérité,Construction,Empilement,Équilibre,Jet De Dés";Haba;"Klaus Miltenberger";"Michael Bayer"
Enfance;49715;"Rafle de Chaussettes";;2004;basegame;4010168047867;14,9;"2 — 6";10;4+;français;;"Rafle de chaussettes";"Jeu de Cartes";Objets;"Association d'idées,Observation,Rapidité";Haba;"Michael Schacht";"Martina Leykamm"
Enfance;48471;"Vite, maman arrive !";;2021;basegame;4010168256597;7,9;"2 — 4";30;5+;français,anglais,allemand;;;"Jeu de tuiles";"Vie quotidienne";Observation,Rapidité;Haba;"Kirsten Hiese";"René Amthor"
"Ludique Educatif";78032;"Coccinelles Demoiselles";;2004;basegame;;0;Solo;"15 — 30";6+;français;;"Travel Magnetic Games";Casse-tête;Animaux,Coccinelles,Insectes;Logique,Magnétique,Manipulation,Planification,Solo;"Smart Games";"Raf Peeters";
"Ludique Educatif";57636;"Buuuut !";;2022;basegame;5414301524816;10,9;Solo;30;6+;français;;"Travel Magnetic Games";Casse-tête;Football,Sports;"Défis,Logique,Magnétique,perception visuelle,Réflexion,Solo";"Smart Games";"Raf Peeters";
"Ludique Educatif";88671;"Mange-Moi Si Tu Peux";;2024;basegame;5414301527039;0;Solo;"15 — 30";8+;français;;;Casse-tête;Poissons;Logique,Manipulation,Observation,Puzzle;"Smart Games";;"Jeanne Ribbens"
"en cours de traitement";34255;"Picture show";;2019;basegame;3558380063438;25,9;"2 — 8";30;7+;français;;;"Jeu d'Ambiance";;Énigme;Asmodee;"Kenny Kiernan";
"Nouveautés 2025";78168;"Château Combo";;2024;basegame;3760273010447;20;"2 — 5";25;10+;français;;"Château Combo";"Jeu de Cartes";Château,Construction,Médiéval,Urbanisme;"Combinaison,Construction De Tableau,Gestion de main,Placement de cartes,Pouvoir";"Catch Up Games";"Grégory Grard,Mathieu Roussel";"Stéphane Escapa"
"Nouveautés 2025";80299;"Suspects Pocket - La Disparition Du Pr Fairchild";;2024;basegame;3616450013926;11,5;"1 — 6";90;10+;français;;Suspects;"Jeu D'Enquête";"Enquêtes & Mystères";Coopération,Déduction,Énigme,Narration,Scénarios,Solo;"Studio H";"Alexandre Emerit,Guillaume Montiage";"Emile Denis"
"Nouveautés 2025";80298;"Suspects Pocket - L'opération Ravel";;2024;basegame;3616450013957;11,5;"1 — 6";90;10+;français;;Suspects;"Jeu D'Enquête";"Enquêtes & Mystères";Coopération,Déduction,Énigme,Narration,Scénarios,Solo;"Studio H";"Alexandre Emerit,Guillaume Montiage";"Emile Denis"
"Nouveautés 2025";80297;"Suspects Pocket - Hors Jeu À Liverpool";;2024;basegame;3616450014671;11,5;"1 — 6";90;10+;français;;Suspects;"Jeu D'Enquête";"Enquêtes & Mystères";Coopération,Déduction,Énigme,Narration,Scénarios,Solo;"Studio H";"Alexandre Emerit,Guillaume Montiage";"Emile Denis"
Famille;48592;"L'arc-en-ciel de POP";;2021;basegame;3127020500949;11,9;"2 — 4";10;3+;français;;;"Jeu de Cartes";Animaux,Couleurs,Loups;"Chance & Hasard,Déplacement,Mouvement de point à point,Parcours";"École Des Loisirs";"Grégory Kirszbaum,Pierrick Bisinski";"Pierrick Bisinski"
Famille;76598;Serpentina;;2017;basegame;3421272423026;10,95;"2 — 5";15;4+;français;;Serpentina;"Jeu de Cartes";Animaux;Combinaison;Gigamic;"Brigitte Pokornik";"Oliver Freudenreich,Uschi Heusel"
Famille;31076;"Tous au Dodo";;2016;basegame;;8;"2 — 4";15;3+;français;;"Tous au dodo";"Jeu de plateau";"Animaux,Vie quotidienne";Narration;"Paille Editions";"Sylvie Barc,Yves Renou";"François Ravet"
"Escape game";35051;"Unlock! Epic Adventures";;2019;basegame;3558380071945;35;"1 — 6";60;10+;français;;Unlock!;"Casse-tête,Escape Game,Jeu de Cartes";"Enquêtes & Mystères";Combinaison,Coopération,Déduction,Énigme,Exploration,Logique,Observation;"Space Cowboys";"Cyril Demaegd,Gabriel Durnerin,Guilaine Didier,Luna Marie,Mathieu Casnin,Théo Rivière";"Cyrille Bertin,Mahulda Jelly,Neriac"
Famille;47856;"So Clover!";;2021;basegame;5425016924976;20;"3 — 6";30;10+;français;;;"Jeu d'Ambiance";Abstrait,Lettres;"Association d'idées,Coopération,Déduction";"Repos Production";"François Romain";
Famille;32415;"Zoo Run";;2019;basegame;3760175516009;14,5;"2 — 5";15;4+;français;;;"Jeu de plateau";Agriculture,Animaux;"Coopération,Gestion de main";Loki;"Florian Sirieix";"Davide Tosello"
"Ludique Educatif";54600;"Défi Nature Junior - Merveilles de la mer";;2021;basegame;3569160280242;9;"1 — 4";30;5+;français;;"Défis Nature";"Jeu de Cartes,Jeu De Connaissances";"Animaux,Culture générale,Écologie,Océan";"Collection,Déduction,Logique,Pari,Prise de risque,Questions & Réponses";"Bioviva Editions";;
Ambiance;4245;"Pour les Nuls : Le Jeu";;2011;basegame;9782754041782;0;"2 — 12";20;14+;français;;"Pour les Nuls";"Jeu De Connaissances";"Culture générale";"Questions & Réponses";"First Éditions";"Fabrice Canepa";"Amélie Rigot"
Ambiance;9426;"Caractère - Série Jupiter";;2009;extension;;15;"4 — 12";60;15+;français;;Caractère;"Jeu d'Ambiance";;"Questions & Réponses";"Jeux FK";"François Koch";
"Escape game";39994;"Unlock ! Star Wars - Escape Game";;2020;basegame;3558380073260;35;"1 — 6";60;10+;français;"Star Wars";Unlock!;"Casse-tête,Escape Game,Jeu de Cartes";"Enquêtes & Mystères,Espace,Film & Série,Science-fiction";Combinaison,Coopération,Déduction,Énigme,Exploration,Logique,Observation;"Space Cowboys";"Jay Little";"Ariel Brooks,Mercedes Opheim"
"Escape game";62448;"Echoes - Le Violon";"Jeu d'enquête audio";2023;basegame;4005556209439;10,5;"1 — 6";60;14+;français;;Echoes;"Jeu D'Enquête";"Enquêtes & Mystères,Musique";Coopération,Déduction;Ravensburger;"Dave Neale,Matthew Dunstan";"Harnickell Design,Samuel Bourguignon"
"Escape game";53808;"Echoes - La Danseuse";"Jeu d'enquête audio";2022;basegame;4005556206643;10,5;"1 — 6";60;14+;français;;Echoes;"Jeu D'Enquête";"Enquêtes & Mystères";Coopération,Déduction,Énigme;Ravensburger;"Dave Neale,Matthew Dunstan";"M81 Studio"
"Escape game";49683;"Mystery House - Perdus dans l'Espace";;2021;extension;3421272131730;0;"1 — 5";60;14+;français;;"Mystery House";"Jeu de plateau";"Enquêtes & Mystères";Coopération,Déduction,Énigme,Logique,Puzzle;Gigamic;"Antonio Tinto";"Alessandro Paviolo,Daniela Giubellini"
Extensions;49683;"Mystery House - Perdus dans l'Espace";;2021;extension;3421272131730;0;"1 — 5";60;14+;français;;"Mystery House";"Jeu de plateau";"Enquêtes & Mystères";Coopération,Déduction,Énigme,Logique,Puzzle;Gigamic;"Antonio Tinto";"Alessandro Paviolo,Daniela Giubellini"
"Ludique Educatif";79931;"Mon Puzzle Aventure - Terre Ocre";;2024;basegame;9782492939143;18,9;Solo;30;"5 — 10";français;;"Mon Puzzle Aventure";Puzzle;Aventure,Fantastique;Logique,Observation,Puzzle;"Game Flow";"Antonin Boccara,Fabrice Lamouille,Mathilde Malburet,Romaric Galonnier";"Thibaut Kraeber"
"Escape game";79209;"Unlock! - Risky Adventures";;2024;basegame;3558380121008;35;"1 — 6";"60 — 90";10+;français;;Unlock!;"Escape Game,Jeu de Cartes";"Enquêtes & Mystères";Combinaison,Coopération,Déduction,Énigme,Exploration,Logique,Observation;"Space Cowboys";;"Cyrille Bertin,Lewis Trondheim,Piérô"
"Escape game";79859;"Unlock! Short Adventures - Dans la tête de Sherlock Holmes";;2024;basegame;3558380122685;6,5;"1 — 6";40;10+;français;"Sherlock Holmes";"Unlock!,Unlock! Short Adventures";"Escape Game";"Enquêtes & Mystères";Coopération,Déduction,Énigme,Logique,Observation,Roleplay;"Ankama,Space Cowboys";"Cyril Demaegd";"Benoît Dahan"
Famille;69698;"Unlock! Kids - Histoires de Légendes";;2023;basegame;3558380107460;26,5;"1 — 4";20;6+;français;;"Unlock!,Unlock! Kids";"Escape Game,Jeu de Cartes";"Enquêtes & Mystères";Combinaison,Coopération,Déduction,Énigme,Exploration,Logique,Observation;"Space Cow,Space Cowboys";;"Olivier Danchin,Rémy Tornior,Seppyo"
"Escape game";69698;"Unlock! Kids - Histoires de Légendes";;2023;basegame;3558380107460;26,5;"1 — 4";20;6+;français;;"Unlock!,Unlock! Kids";"Escape Game,Jeu de Cartes";"Enquêtes & Mystères";Combinaison,Coopération,Déduction,Énigme,Exploration,Logique,Observation;"Space Cow,Space Cowboys";;"Olivier Danchin,Rémy Tornior,Seppyo"
Famille;79890;"Unlock! Kids - Histoires de l'île d'Emeraude";;2024;basegame;3558380116158;23,95;"1 — 6";60;6+;français;;"Unlock!,Unlock! Kids";"Escape Game";"Enquêtes & Mystères";Coopération,Déduction,Énigme,Logique,Observation,Roleplay;"Space Cow";"Cyril Demaegd,Marie Fort,Wilfried Fort";"Cartoon Saloon"
"Escape game";79890;"Unlock! Kids - Histoires de l'île d'Emeraude";;2024;basegame;3558380116158;23,95;"1 — 6";60;6+;français;;"Unlock!,Unlock! Kids";"Escape Game";"Enquêtes & Mystères";Coopération,Déduction,Énigme,Logique,Observation,Roleplay;"Space Cow";"Cyril Demaegd,Marie Fort,Wilfried Fort";"Cartoon Saloon"
"Escape game";67865;"Kids Chronicles - La Prophétie du Vieux Chêne";;2023;basegame;0691835191331,6918351913310;20;"1 — 4";"30 — 45";7+;français;;"Kids chronicles";"Jeu de Cartes";Fantastique;Coopération;"Lucky Duck Games";"Benjamin Bouchard,David Cicurel";"Nastya Lehn,Olga Pych,Paweł Marchwicki,Yelizaveta Yuzepolska"
